Index,time,vl,vr,hl,hr
0,0.0,0.0,0.0,0.0,0.0
1,10.0,491.0,589.0,577.0,630.0
2,20.0,384.0,452.0,444.0,370.0
3,30.0,387.0,453.0,439.0,360.0
4,40.0,370.0,422.0,400.0,398.0
5,50.0,384.0,445.0,431.0,364.0
6,60.0,370.0,419.0,398.0,336.0
7,70.0,337.0,432.0,430.0,361.0
8,80.0,406.0,432.0,401.0,139.0
9,90.0,390.0,448.0,432.0,343.0
10,100.0,371.0,421.0,398.0,336.0
11,110.0,339.0,432.0,428.0,356.0
12,120.0,371.0,423.0,405.0,313.0
13,130.0,386.0,446.0,432.0,357.0
14,140.0,372.0,425.0,398.0,336.0
15,150.0,393.0,448.0,429.0,359.0
16,160.0,373.0,422.0,399.0,336.0
17,170.0,387.0,447.0,429.0,362.0
18,180.0,370.0,420.0,398.0,335.0
19,190.0,384.0,444.0,426.0,421.0
20,200.0,369.0,420.0,398.0,343.0
21,210.0,384.0,444.0,429.0,359.0
22,220.0,326.0,406.0,394.0,337.0
23,230.0,426.0,461.0,433.0,148.0
24,240.0,378.0,425.0,401.0,326.0
25,250.0,388.0,445.0,432.0,358.0
26,260.0,324.0,403.0,399.0,336.0
27,270.0,385.0,448.0,434.0,332.0
28,280.0,371.0,419.0,400.0,336.0
29,290.0,387.0,444.0,429.0,359.0
30,300.0,379.0,422.0,397.0,335.0
31,310.0,387.0,446.0,428.0,359.0
32,320.0,371.0,419.0,396.0,336.0
33,330.0,386.0,442.0,423.0,353.0
34,340.0,370.0,415.0,393.0,391.0
35,350.0,385.0,443.0,422.0,361.0
36,360.0,373.0,419.0,393.0,336.0
37,370.0,338.0,432.0,426.0,359.0
38,380.0,405.0,432.0,403.0,140.0
39,390.0,391.0,448.0,432.0,347.0
40,400.0,371.0,422.0,399.0,336.0
41,410.0,336.0,432.0,431.0,359.0
42,420.0,370.0,426.0,405.0,313.0
43,430.0,384.0,448.0,432.0,354.0
44,440.0,370.0,419.0,398.0,336.0
45,450.0,387.0,444.0,430.0,356.0
46,460.0,371.0,419.0,394.0,336.0
47,470.0,384.0,443.0,429.0,358.0
48,480.0,339.0,412.0,400.0,336.0
49,490.0,415.0,457.0,434.0,118.0
50,500.0,373.0,421.0,400.0,324.0
51,510.0,385.0,446.0,430.0,357.0
52,520.0,327.0,407.0,395.0,336.0
53,530.0,428.0,462.0,434.0,151.0
54,540.0,378.0,425.0,400.0,326.0
55,550.0,386.0,447.0,430.0,358.0
56,560.0,324.0,405.0,397.0,336.0
57,570.0,384.0,448.0,433.0,330.0
58,580.0,369.0,419.0,400.0,336.0
59,590.0,385.0,443.0,428.0,357.0
60,600.0,378.0,418.0,397.0,335.0
61,610.0,386.0,442.0,428.0,356.0
62,620.0,373.0,419.0,398.0,336.0
63,630.0,357.0,438.0,430.0,359.0
64,640.0,399.0,432.0,402.0,112.0
65,650.0,389.0,447.0,432.0,343.0
66,660.0,373.0,420.0,398.0,336.0
67,670.0,339.0,432.0,427.0,356.0
68,680.0,410.0,433.0,402.0,144.0
69,690.0,390.0,446.0,432.0,345.0
70,700.0,373.0,420.0,400.0,336.0
71,710.0,338.0,431.0,429.0,358.0
72,720.0,368.0,423.0,403.0,312.0
